:			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
			self	mother	father	brother	sister	spouse	ex-flame	pal	ex-pal	rejecting p	pitied p	threateaning p	attractive p	accepted t	rejected t	boss	successful p	happy p	ethical p	
Black	Dot	believes in God	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	
Black	Dot	same education	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	
Black	Dot	not athletic	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	
Black	Dot	both girls	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
Black	Dot	parents	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	
Black	Dot	understands me	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	
Black	Dot	teach the right thing	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	
Black	Dot	achieved a lot	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	
Black	Dot	higher education	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	
Black	Dot	dont like other people	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
Black	Dot	more religious	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	
Black	Dot	believe in higher education	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	
Black	Dot	more sociable	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	
Black	Dot	both girls	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
Black	Dot	both girls	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	
Black	Dot	high morale	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	
Black	Dot	think alike	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	
Black	Dot	same age	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	
Black	Dot	believe same about me	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	
Black	Dot	both friends	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	
Black	Dot	more undestanding	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	
Black	Dot	appreciate music	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	
