:			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
			NKE	VFC	HD	SBUX	PVH	RL	TJX	LOW	FISV	MAS	PAYX	V	TIF	MET	ROST	M	TGT	MHK	HON	ITW	FBHS	PHM	ADP	MA	MCO	SPGI	BEN	IVZ	PFG	PRU	UNM	TMK	JWN	KSS	UTX	ROP	
Black	Dot	NKE	0	0.504458	0.437956	0.435727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	VFC	0.504458	0	0	0	0.55376	0.478882	0.47021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	HD	0.437956	0	0	0	0	0	0	0.735138	0.528088	0.520672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	SBUX	0.435727	0	0	0	0	0	0	0	0.464997	0	0.454554	0.4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	PVH	0	0.55376	0	0	0	0.519049	0.410128	0	0	0	0	0	0.375269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	RL	0	0.478882	0	0	0.519049	0	0	0	0	0	0	0	0	0.360357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	TJX	0	0.47021	0	0	0.410128	0	0	0	0	0	0	0	0	0	0.682611	0.489833	0.480174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	LOW	0	0	0.735138	0	0	0	0	0	0	0.469594	0	0	0	0	0.452291	0	0	0.487045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	FISV	0	0	0.528088	0.464997	0	0	0	0	0	0	0.611303	0	0	0	0	0	0	0	0.591632	0.584712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	MAS	0	0	0.520672	0	0	0	0	0.469594	0	0	0	0	0	0	0	0	0	0.619289	0	0	0.710231	0.566005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	PAYX	0	0	0	0.454554	0	0	0	0	0.611303	0	0	0	0	0	0	0	0	0	0	0.52615	0	0	0.701282	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	V	0	0	0	0.4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.808157	0.57275	0.551098	0	0	0	0	0	0	0	0	0	0	
Black	Dot	TIF	0	0	0	0	0.375269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433355	0.422672	0.410673	0	0	0	0	0	0	0	
Black	Dot	MET	0	0	0	0	0	0.360357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846773	0.762757	0.709249	0	0	0	0	
Black	Dot	ROST	0	0	0	0	0	0	0.682611	0.452291	0	0	0	0	0	0	0	0	0.465886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	M	0	0	0	0	0	0	0.489833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.615241	0.587728	0	0	
Black	Dot	TGT	0	0	0	0	0	0	0.480174	0	0	0	0	0	0	0	0.465886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496652	0	0	0	
Black	Dot	MHK	0	0	0	0	0	0	0	0.487045	0	0.619289	0	0	0	0	0	0	0	0	0	0	0.632575	0.539591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Black	Dot	HON	0	0	0	0	0	0	0	0	0.591632	0	0	0	0	0	0	0	0	0	0	0.686738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64044	0.631709	
