"id";"outputID";"txID";"offset"
"0";"9";"171";"0"
"1";"172";"183";"0"
"2";"185";"185";"0"
"3";"188";"187";"0"
"4";"190";"192";"0"
"5";"187";"227";"0"
"6";"191";"255";"0"
"7";"372";"504";"0"
"8";"196";"504";"1"
"9";"259";"504";"2"
"10";"298";"533";"0"
"11";"538";"555";"0"
"12";"561";"557";"0"
"13";"562";"557";"1"
"14";"564";"558";"0"
"15";"565";"558";"1"
"16";"566";"559";"0"
"17";"567";"559";"1"
"18";"280";"600";"0"
"19";"429";"600";"1"
"20";"443";"600";"2"
"21";"454";"600";"3"
"22";"462";"600";"4"
"23";"329";"601";"0"
"24";"341";"609";"0"
"25";"514";"724";"0"
"26";"519";"724";"1"
"27";"522";"746";"0"
"28";"369";"746";"1"
"29";"623";"962";"0"
"30";"768";"962";"1"
"31";"801";"962";"2"
"32";"477";"1075";"0"
"33";"485";"1075";"1"
"34";"651";"1075";"2"
"35";"585";"1075";"3"
"36";"534";"1075";"4"
"37";"505";"1075";"5"
"38";"451";"1075";"6"
"39";"786";"1075";"7"
"40";"857";"1075";"8"
"41";"853";"1075";"9"
"42";"419";"1077";"0"
"43";"693";"1077";"1"
"44";"620";"1077";"2"
"45";"556";"1077";"3"
"46";"759";"1077";"4"
"47";"843";"1077";"5"
"48";"1022";"1206";"0"
"49";"445";"1206";"1"
"50";"616";"1206";"2"
"51";"406";"1206";"3"
"52";"802";"1206";"4"
"53";"964";"1206";"5"
"54";"979";"1206";"6"
"55";"989";"1206";"7"
"56";"914";"1236";"0"
"57";"777";"1236";"1"
"58";"332";"1320";"0"
"59";"969";"1320";"1"
"60";"1128";"1320";"2"
"61";"473";"1320";"3"
"62";"1157";"1320";"4"
"63";"838";"1320";"5"
"64";"1029";"1320";"6"
"65";"1171";"1320";"7"
"66";"975";"1320";"8"
"67";"796";"1320";"9"
"68";"1016";"1414";"0"
"69";"956";"1414";"1"
"70";"850";"1414";"2"
"71";"634";"1480";"0"
"72";"1330";"1480";"1"
"73";"1274";"1480";"2"
"74";"1225";"1480";"3"
"75";"1334";"1480";"4"
"76";"1368";"1480";"5"
"77";"1028";"1613";"0"
"78";"1303";"1613";"1"
"79";"1168";"1613";"2"
"80";"1146";"1613";"3"
"81";"952";"1613";"4"
"82";"1061";"1613";"5"
"83";"1239";"1613";"6"
"84";"879";"1613";"7"
"85";"1014";"1613";"8"
"86";"1167";"1613";"9"
"87";"1445";"1795";"0"
